place
"Salcha, Alaska"
"Beluga, Alaska"
"Obock, Djibouti"
"Mammoth Lakes, CA"
"Redlands, CA"
"Nelchina, Alaska"
"Nanwalek, Alaska"
"Coleville, California"
"Cantwell, Alaska"
"Pony, Montana"
"Amlapura, Indonesia"
"Manley Hot Springs, Alaska"
"Milford, Utah"
"Sincik, Turkey"
"El Ticui, Mexico"
"Arvin, CA"
"Atka, Alaska"
"Ruteng, Indonesia"
"Stanley, Idaho"
"Martin City, Montana"
"Velma, Oklahoma"
"Oso, Washington"
"Meadow Lakes, Alaska"
"Skwentna, Alaska"
"Dyer, Nevada"
"Adak, Alaska"
"Fontana, CA"
"Lincoln, Montana"
"Bishop, California"
"Leilani Estates, Hawaii"
"Indian Springs, Nevada"
"Packwood, Washington"
"Salamatof, Alaska"
"Unalaska, Alaska"
"Beatty, Nevada"
"Colton, CA"
"Desert Hot Springs, CA"
"Vincent, CA"
"Auburn, Wyoming"
"Hebgen Lake Estates, Montana"
northern East Pacific Rise
"Eielson Air Force Base, Alaska"
"Steele, Missouri"
"Lake Henshaw, CA"
"Paxson, Alaska"
"Pacifica, CA"
"Chignik, Alaska"
"Delta, B.C., MX"
"Sierraville, California"
"Searles Valley, CA"
"Summit Park, Utah"
"Dutch Harbor, Alaska"
"Banning, CA"
"Chignik Lake, Alaska"
"Nemuro, Japan"
"Salinas, Puerto Rico"
"Clayton, Idaho"
"Chistochina, Alaska"
"Bodfish, CA"
central Mid-Atlantic Ridge
"Kokhanok, Alaska"
"Coyanosa, Texas"
"Morton, Washington"
"Templeton, CA"
"Happy Valley, Alaska"
"Glacier View, Alaska"
"West Yellowstone, Montana"
"Delta Junction, Alaska"
"Yanglong, China"
"Spring Garden, California"
"Nikolski, Alaska"
"Sterling, Alaska"
"Lindsay, Texas"
"Santa María Guenagati, Mexico"
"Lime Village, Alaska"
"Virginia City, Montana"
"Davis, Oklahoma"
"Manado, Indonesia"
"Westbrook, Texas"
"Clark Fork, Idaho"
Kuril Islands
"Maria Antonia, Puerto Rico"
"Hayfork, CA"
"Dannevirke, New Zealand"
"Fox, Alaska"
"Reno, Nevada"
"Amboy, Washington"
"Nikiski, Alaska"
"Pope-Vannoy Landing, Alaska"
"Kyzyl-Suu, Kyrgyzstan"
"Kuqa, China"
"Rio Dell, CA"
"Dillon, Montana"
"Sutcliffe, Nevada"
"Susitna, Alaska"
"Schurz, Nevada"
"Spanish Springs, Nevada"
"Union City, Oklahoma"
"Forsan, Texas"
"Kuji, Japan"
"Santa Rita, Montana"
"Akutan, Alaska"
"Issaquah, Washington"
"Cloverdale, CA"
"Corona, CA"
"Helena Valley West Central, Montana"
"Ackerly, Texas"
"Attu Station, Alaska"
"Fort Greely, Alaska"
"Vanimo, Papua New Guinea"
"Pittsburg, CA"
"Banjar, Indonesia"
"Dededo Village, Guam"
"North Pole, Alaska"
"Eureka, Nevada"
"Progreso, B.C., MX"
"Gilroy, CA"
"Snyderville, Utah"
"Miyazaki, Japan"
"Chiniak, Alaska"
"Stanton, Texas"
"Ashford, Washington"
"Belozërnyy, Russia"
"Skykomish, Washington"
"Ashkāsham, Afghanistan"
south of the Kermadec Islands
"Anchorage, Alaska"
"Beaver, Alaska"
"New Stuyahok, Alaska"
"Mentone, CA"
"Loreto, Mexico"
"Calipatria, CA"
"Doyle, California"
"Loma Linda, CA"
"Pacheco, CA"
"Denio, Nevada"
"Calama, Chile"
"Yucaipa, CA"
"Marysville, Montana"
"Guayanilla, Puerto Rico"
"Perry, Oklahoma"
"Hughes, Alaska"
"Magna, Utah"
"‘Ohonua, Tonga"
"Houma, Tonga"
"Brenas, Puerto Rico"
"Big Bear City, CA"
"Palomas, Puerto Rico"
"Petropavlovsk-Kamchatsky, Russia"
"Tanana, Alaska"
"Chase, Alaska"
"Talmage, CA"
"Balmorhea, Texas"
"Pleasant Valley, Alaska"
"rmal, CA"
"Sisters, Oregon"
"Mojave, CA"
"Clam Gulch, Alaska"
"Tual, Indonesia"
"Oasis, CA"
"Boron, CA"
"Sutton-Alpine, Alaska"
"Rengo, Chile"
"Niland, CA"
"Indio, CA"
"Akkeshi, Japan"
"Tres Pinos, CA"
"Enumclaw, Washington"
"La Quinta, CA"
"Four Mile Road, Alaska"
"Waterville, Washington"
"Butte, Montana"
"Trimble, Tennessee"
"Beykonak, Turkey"
"Ninilchik, Alaska"
"Townsend, Montana"
"Lima, Montana"
"Edmond, Oklahoma"
"Ocotillo, CA"
"Hollister, CA"
"Willow Creek, Montana"
"Aleneva, Alaska"
"Muscoy, CA"
"Whitestone, Alaska"
"Coquimbo, Chile"
"Kermadec Islands, New Zealand"
"Volcano Islands, Japan region"
"Chilecito, Argentina"
"Anderson Springs, CA"
"Port-Vila, Vanuatu"
"Kelly, Wyoming"
"Lake Minchumina, Alaska"
"Mazo Cruz, Peru"
"Kanosh, Utah"
"Beaumont, CA"
"Stroud, Oklahoma"
"Alamo, Nevada"
"Marston, Missouri"
"Fountain Green, Utah"
"Deering, Alaska"
"Insrom, Indonesia"
"Kanarraville, Utah"
"Niarada, Montana"
"Lake Isabella, CA"
"Imperial, CA"
"Indios, Puerto Rico"
"Klamath, CA"
"Egegik, Alaska"
"Palomar Observatory, CA"
"Fakfak, Indonesia"
southeast of Easter Island
"Ak-Suu, Kyrgyzstan"
"Bay Point, CA"
"Miches, Dominican Republic"
"Parkfield, CA"
"Furnace Creek, California"
"Kernville, CA"
"Arcadia, Oklahoma"
"Piru, CA"
"Shandon, CA"
"Point Possession, Alaska"
"Alum Rock, CA"
"Princeton, Canada"
"Hermleigh, Texas"
"Champerico, Guatemala"
"Carnelian Bay, California"
"Neah Bay, Washington"
"Lake Pillsbury, CA"
"Maricopa, CA"
"Logan, Montana"
"Morgan Hill, CA"
"Piedecuesta, Colombia"
"Pahrump, Nevada"
Carlsberg Ridge
"Nanao, Japan"
"Esquimalt, Canada"
"Calimesa, CA"
"Waingapu, Indonesia"
"Perryville, Alaska"
"Honaunau-Napoopoo, Hawaii"
"Silver Peak, Nevada"
"Orocovis, Puerto Rico"
"Julian, CA"
"Crucecita, Mexico"
"Chitina, Alaska"
"La Tirana, Chile"
"Sun Valley, Nevada"
"Sarangani, Philippines"
"Tatitlek, Alaska"
"Warner Springs, CA"
"Big Lake, Alaska"
"Glacier, Washington"
"Island Park, Idaho"
"Fallon Station, Nevada"
"Sumberpucung, Indonesia"
"Lytle Creek, CA"
"Canyondam, California"
"Edmonds, Washington"
"Ridgeway, Alaska"
"Brawley, CA"
"Lívingston, Guatemala"
"Herlong, California"
"Coalinga, CA"
"Glennallen, Alaska"
"Beaver, Utah"
"Oromocto, Canada"
"Fishhook, Alaska"
"Aksu, China"
"Soda Springs, Idaho"
"Samaná, Dominican Republic"
"Hamilton City, CA"
"Levuka, Fiji"
"Abra Pampa, Argentina"
"New Idria, CA"
"Twain, CA"
"Olancha, CA"
"Yucca Valley, CA"
"Prospect, Oregon"
"Yonakuni, Japan"
"Caraway, Arkansas"
"Lluveras, Puerto Rico"
"Challis, Idaho"
"Badger, Alaska"
"Miyako, Japan"
"Malaga, New Mexico"
"Topaz, California"
"Bagalangit, Philippines"
"Condon, Montana"
"Lucien, Oklahoma"
"Gateway, Alaska"
"Qarah Bāgh, Afghanistan"
"Fall City, Washington"
"San Antonio, Chile"
"Jordán, Colombia"
"Solina, Bosnia and Herzegovina"
"Benicia, CA"
"Howell, Utah"
"Silos, Montana"
"Round Valley, CA"
"Garnet, CA"
"Madang, Papua New Guinea"
"Walker, California"
"Charlotte Amalie, U.S. Virgin Islands"
"Government Camp, Oregon"
"Tallaboa, Puerto Rico"
"Palca, Peru"
"Lospalos, Timor Leste"
"Sand Point, Alaska"
"Cardwell, Montana"
"Meno, Oklahoma"
"Shasta Lake, CA"
"Marshall, Oklahoma"
"Kobuk, Alaska"
"Cushing, Oklahoma"
"Pawnee, Oklahoma"
"Black Point-Green Point, CA"
"San Simeon, CA"
"El Bolsón, Argentina"
"Fremont, CA"
"Ucluelet, Canada"
"Brewerton, New York"
"Boca de Yuma, Dominican Republic"
"Talkeetna, Alaska"
"Chenega, Alaska"
"Dacoma, Oklahoma"
"Kasilof, Alaska"
"East Quincy, California"
"Fern Forest, Hawaii"
"Cardston, Canada"
Southwest Indian Ridge
"Monahans, Texas"
"Tarauacá, Brazil"
"Khorugh, Tajikistan"
"Kettleman City, CA"
"Ludlow, CA"
"Teller, Alaska"
"San Jacinto, CA"
"Woodside, CA"
"Ivanof Bay, Alaska"
"Pagan region, Northern Mariana Islands"
"Burien, Washington"
"Knik River, Alaska"
"Granada Hills, CA"
"Quepos, Costa Rica"
"Joshua Tree, CA"
"Covenant Life, Alaska"
"Miyakojima, Japan"
Mariana Islands region
"Lovelock, Nevada"
"King Cove, Alaska"
"Anchor Point, Alaska"
"Cordova, Alaska"
"Port Hueneme, CA"
"Pleasant Plains, Arkansas"
"Granby, Canada"
"Eureka Roadhouse, Alaska"
"Vallenar, Chile"
"Mākena, Hawaii"
"Dry Creek, Alaska"
"Deltana, Alaska"
"Waikoloa, Hawaii"
"Ternate, Indonesia"
"Vao, New Caledonia"
"Whittier, Alaska"
South Sandwich Islands region
Reykjanes Ridge
"Owhiro Bay, New Zealand"
"Vashon, Washington"
"Mentasta Lake, Alaska"
"Angoram, Papua New Guinea"
"San Francisco Zoo, CA"
"San Juan, Puerto Rico"
"Aguadilla, Puerto Rico"
"Punta Cana, Dominican Republic"
"Port Blair, India"
"Mullan, Idaho"
"San Antonio, Puerto Rico"
"Edgefield, Louisiana"
"Gürün, Turkey"
"Toledo, Washington"
"Ie, Japan"
"Port Lions, Alaska"
"Sebastopol, CA"
"Port Ludlow, Washington"
"Honoka‘a, Hawaii"
"Kurio, Japan"
"Qaraçala, Azerbaijan"
"Loma, Colorado"
"Bowangshan, China"
"Bingtuan Sanshiliu Tuan, China"
"Prague, Oklahoma"
"Pravda, Russia"
"Midland, Texas"
"Ferndale, California"
"Morongo Valley, CA"
"Ouzinkie, Alaska"
"Oxílithos, Greece"
"New Pine Creek, California"
"Madrigal, Peru"
"Cartago, Colombia"
"Lakeport, CA"
"Willits, CA"
"Viola, CA"
"Kailua-Kona, Hawaii"
"Garden City, Texas"
"Antofagasta de la Sierra, Argentina"
"Pearsall, Texas"
"Isangel, Vanuatu"
"Rachel, Nevada"
"Hasaki, Japan"
"Boonville, CA"
"Butembo, Democratic Republic of the Congo"
"Sola, Vanuatu"
"Colma, CA"
"Frazier Park, CA"
"Nellis Air Force Base, Nevada"
"Valencia, CA"
"Arecibo, Puerto Rico"
"Tiptonville, Tennessee"
"Taloqan, Afghanistan"
"Oakland, CA"
western Indian-Antarctic Ridge
"Aromas, CA"
"Fangale’ounga, Tonga"
"Pariaman, Indonesia"
"Tobelo, Indonesia"
"Atascadero, CA"
"Çelikhan, Turkey"
"Winchester, CA"
"Unity, Oregon"
"Hulbert, Oklahoma"
"Thousand Palms, CA"
"Waimea, Hawaii"
"Poso, Indonesia"
"Ojai, CA"
"Hihifo, Tonga"
"Nile, Washington"
"Fritz Creek, Alaska"
"Santa María Zapotitlán, Mexico"
"Trapper Creek, Alaska"
"Lamitan, Philippines"
"Mossyrock, Washington"
"Two Rivers, Alaska"
"Dover, Oklahoma"
"San Juan Bautista, CA"
north of Franz Josef Land
"Glenwood, Utah"
"Anderson, Alaska"
"Coupeville, Washington"
"Helena Valley Northeast, Montana"
"Labuan Bajo, Indonesia"
"Waynoka, Oklahoma"
"Minersville, Utah"
"Barcelona, Philippines"
"Isla Vista, CA"
"Falls City, Texas"
"Yigo Village, Guam"
"Sado, Japan"
"Pondaguitan, Philippines"
"Bengkulu, Indonesia"
"Easton, Washington"
"Trout Lake, Washington"
"San Martin, CA"
"Johannesburg, CA"
southeast central Pacific Ocean
"Hidden Valley Lake, CA"
"Rancho San Diego, CA"
off the west coast of northern Sumatra
"Catoosa, Oklahoma"
"Abepura, Indonesia"
"Inarajan Village, Guam"
"Gorontalo, Indonesia"
"Day Valley, CA"
"Banda Aceh, Indonesia"
"Meulaboh, Indonesia"
"Clayton, CA"
"Utuado, Puerto Rico"
"Akureyri, Iceland"
"Saipan, Northern Mariana Islands"
"Hinatuan, Philippines"
"Clinton, Tennessee"
"Orinda, CA"
"Hope, Alaska"
"Baukau, Timor Leste"
"Alberto Oviedo Mota, B.C., MX"
"Port Alexander, Alaska"
"Naknek, Alaska"
"Wallace, Idaho"
"Quincy, Washington"
"Osburn, Idaho"
"Babb, Montana"
"San Clemente Is. (SE tip), CA"
"Atocha, Bolivia"
"Running Springs, CA"
"Pine Valley, CA"
"Eagle River, Alaska"
"Spring Garden, CA"
"Crockett, CA"
"Valle Vista, CA"
"Sandy Ground Village, Anguilla"
"Patterson, CA"
"Dompu, Indonesia"
"Moose Pass, Alaska"
"Greenfield, CA"
"Bayview-Montalvin, CA"
"Shikotan, Russia"
"Kepulauan Babar, Indonesia"
"Interlaken, CA"
"Bitung, Indonesia"
"Livermore, CA"
"Madison, Ohio"
"El Cerrito, CA"
"Neiafu, Tonga"
"Gili Air, Indonesia"
"Alcan Border, Alaska"
"La Jolla, CA"
"Caliente, Nevada"
"Conconully, Washington"
"El Centro, CA"
"Kuril’sk, Russia"
"Hamlin, Maine"
"Pedasí, Panama"
Fiji region
"Keyport, Washington"
"Ferndale, CA"
"Port Alsworth, Alaska"
"Ontario, CA"
"Barstow, CA"
"Hengchun, Taiwan"
"Yosemite Valley, CA"
"Topaz Lake, Nevada"
"Brevig Mission, Alaska"
"Leonídio, Greece"
"Three Rivers, Oregon"
"Sylmar, CA"
"Padam, India"
"Pulau Pulau Tanimbar, Indonesia"
"Entiat, Washington"
"Longaví, Chile"
"El Negro, Puerto Rico"
"Bennington, Idaho"
"Plush, Oregon"
"Magas Arriba, Puerto Rico"
"Vacaville, CA"
"Highland, CA"
"Kingston, Nevada"
"San Pedro de Atacama, Chile"
"Blytheville, Arkansas"
"South Van Horn, Alaska"
"Lebec, CA"
"Kalama, Washington"
"Crowder, Oklahoma"
"Bandon, Oregon"
"Diego de Almagro, Chile"
"Khandūd, Afghanistan"
"Quilcene, Washington"
Bouvet Island region
"Mexicali, B.C., MX"
"Lake Cavanaugh, Washington"
"Malango, Solomon Islands"
"Nueva Concepción, Guatemala"
"El Aguilar, Argentina"
"Lumding Railway Colony, India"
"Carrizales, Puerto Rico"
"Twentynine Palms, CA"
"Kurumkan, Russia"
Kermadec Islands region
"Lee Vining, CA"
"McCloud, CA"
"Foster, Oklahoma"
"Zapatoca, Colombia"
"Huron, CA"
"Rat Islands, Aleutian Islands, Alaska"
"Ambon, Indonesia"
"Independence, California"
"River Road, Washington"
"Fox River, Alaska"
"Roosevelt, Washington"
"Bodie, CA"
"East Quincy, CA"
"Cohoe, Alaska"
"Middletown, CA"
"Spencer, Idaho"
"Hamatonbetsu, Japan"
"Hawthorne, Nevada"
"Levelock, Alaska"
"Mariposa, CA"
"La Gomera, Guatemala"
"Girdwood, Alaska"
"Circleville, Utah"
"Keeler, California"
"Georgetown, Idaho"
"Yauco, Puerto Rico"
"Akhiok, Alaska"
"Cascade, Idaho"
"Big Bear Lake, CA"
"Montecito, CA"
"Ridgely, Tennessee"
"Yacuiba, Bolivia"
"Kushimoto, Japan"
"Healy, Alaska"
"Fonte Bastardo, Portugal"
"Twisp, Washington"
"San Lucas, CA"
"Rabaul, Papua New Guinea"
"Bradbury, CA"
"Century City, CA"
"Portage, Utah"
"Labuha, Indonesia"
"Peqin, Albania"
"West Lake Sammamish, Washington"
"Tomohon, Indonesia"
"Chalkyitsik, Alaska"
"Terney, Russia"
"Lopez Point, CA"
"Bombay Beach, CA"
"Loyola, CA"
Washington
"Malibu, CA"
"Tocopilla, Chile"
"Moraga, CA"
"Rampart, Alaska"
"Soda Springs, California"
"Deer Island, Oregon"
"Suárez, Puerto Rico"
"Kelseyville, CA"
"Kokopo, Papua New Guinea"
"Kupang, Indonesia"
"Ada, Oklahoma"
"Honchō, Japan"
"Wisdom, Montana"
"Puerto San José, Guatemala"
"Whitehall, Montana"
"Helena West Side, Montana"
"Centerville, Utah"
"Ishigaki, Japan"
northern Mid-Atlantic Ridge
"Xylókastro, Greece"
"Kýthira, Greece"
"Yarmouth, Canada"
"Coachella, CA"
"Olonkinbyen, Svalbard and Jan Mayen"
"Lata, Solomon Islands"
"City of Sammamish, Washington"
"Gakona, Alaska"
"Baywood-Los Osos, CA"
"Larsen Bay, Alaska"
"Alpine, Texas"
"Mill Creek, Oklahoma"
"Dipayal, Nepal"
"El Sauzal, B.C., MX"
"Yenangyaung, Myanmar"
"Avila Beach, CA"
"Trabuco Canyon, CA"
"Quilca, Peru"
"Cambria, CA"
"Santo Domingo, Puerto Rico"
southern Mid-Atlantic Ridge
"Dayton, Nevada"
Galapagos Triple Junction region
"Mirrormont, Washington"
"Lagunitas-Forest Knolls, CA"
"Aras-asan, Philippines"
"Redwood Valley, CA"
"Jurm, Afghanistan"
"Cold Springs, Nevada"
"Palaióchora, Greece"
"Atlasovo, Russia"
"Fuig, Puerto Rico"
Scotia Sea
"Falam, Myanmar"
"Sardinal, Costa Rica"
"Saint-Pierre, Saint Pierre and Miquelon"
"Maug Islands region, Northern Mariana Islands"
"Kainantu, Papua New Guinea"
"Los Andes, Chile"
"Bovill, Idaho"
"Green Acres, CA"
"Bridgeport, California"
"Itoigawa, Japan"
"Pa‘auilo, Hawaii"
"Cotati, CA"
"Bonadelle Ranchos-Madera Ranchos, CA"
"Dixon Lane-Meadow Creek, California"
"Severo-Kuril’sk, Russia"
"Santa Cruz, Chile"
"San Felipe, Mexico"
"Cooter, Missouri"
"Hall Summit, Louisiana"
central East Pacific Rise
"Mammoth, Wyoming"
"Livengood, Alaska"
"Willows, CA"
"Höfn, Iceland"
"Placentia, CA"
South Pacific Ocean
"Indian Hills, Nevada"
"Fredonia, Arizona"
"Mayagüez, Puerto Rico"
"Point Sur, CA"
"Gizo, Solomon Islands"
"Moyobamba, Peru"
"Red Rock, Oklahoma"
"Hydesville, CA"
"Sými, Greece"
"Uzunbağ, Turkey"
"Snowville, Utah"
"South Hills, Montana"
"Lakeside, Montana"
"Wye, Montana"
"Primo Tapia, B.C., MX"
"Lindsay, Oklahoma"
"Gabbs, Nevada"
"Panaca, Nevada"
"Angwin, CA"
"Toston, Montana"
"Ponderosa Pines, Montana"
"Bangor Trident Base, Washington"
Norwegian Sea
"Waimairi Beach, New Zealand"
"Chilcoot-Vinton, California"
"Walker, CA"
"Lake View Terrace, CA"
"Kenai, Alaska"
"Cayey, Puerto Rico"
"San Germán, Puerto Rico"
"Halibut Cove, Alaska"
Mid-Indian Ridge
"Mecitözü, Turkey"
"Bluff City, Kansas"
"Saratoga, CA"
"Port-Olry, Vanuatu"
"Nurhak, Turkey"
"Van Horn, Texas"
"San Jose Village, Northern Mariana Islands"
"Rialto, CA"
"Palos Verdes Estates, CA"
"Skokomish, Washington"
"Avon, Montana"
"Esperanza, Puerto Rico"
"Millbrae, CA"
"Pangai, Tonga"
"Ukiah, CA"
"Happys Inn, Montana"
"Teluk Dalam, Indonesia"
"Sabana Grande, Puerto Rico"
"Ratliff City, Oklahoma"
"Chino Hills, CA"
"Port McNeill, Canada"
"Santiago de Cao, Peru"
"Finschhafen, Papua New Guinea"
"Pakokku, Myanmar"
"Amahai, Indonesia"
"Bāfq, Iran"
"Elgin, South Carolina"
"Puebla, B.C., MX"
"Dushanzi, China"
"Adelanto, CA"
"Panguna, Papua New Guinea"
"Doğanyol, Turkey"
"Salinas, Ecuador"
Pacific-Antarctic Ridge
"Prattville, CA"
"Carson City, Nevada"
"Tuapejat, Indonesia"
"Baker City, Oregon"
"Aguanga, CA"
"Carbonado, Washington"
"Wilderness Rim, Washington"
"West Valley City, Utah"
"Deep Springs, CA"
"Bamboo Flat, India"
"Seeley Lake, Montana"
"Lake Davis, California"
"Smith, Nevada"
"El Reno, Oklahoma"
"Agua Dulce, CA"
"Soldotna, Alaska"
"Etowah, Tennessee"
"Cooper Landing, Alaska"
"Fairbanks, Alaska"
"Ridgemark, CA"
"Comapa, Guatemala"
"Empire, Nevada"
Balleny Islands region
"Laojunmiao, China"
"Namche Bazaar, Nepal"
"South Lead Hill, Arkansas"
"Lamboglia, Puerto Rico"
"Valley Ranch, California"
"Lobuche, Nepal"
"Hampton, Canada"
"Summit, Utah"
"Mole Lake, Wisconsin"
"Bull Shoals, Arkansas"
"Elfin Cove, Alaska"
"Luwuk, Indonesia"
"San Ramon, CA"
"Pole Ojea, Puerto Rico"
"Manhattan, Montana"
"Ennis, Montana"
"Curahuara de Carangas, Bolivia"
"Cooperton, Oklahoma"
"Merizo Village, Guam"
"Seldovia Village, Alaska"
"Devore, CA"
"Grapevine, CA"
"Neenach, CA"
"Yamada, Japan"
"Halls Creek, Australia"
"Encinitas, CA"
"Hawaiian Ocean View, Hawaii"
south of Panama
"Santa Elena de Uairén, Venezuela"
"New Pine Creek, Oregon"
"Santa Maria, Philippines"
"San Dimas, CA"
"Dixon Lane-Meadow Creek, CA"
Vanuatu region
"Cayucos, CA"
"Savannah Bight, Honduras"
"Orting, Washington"
"Alder, Montana"
"Portola Valley, CA"
"Etowah, Arkansas"
"Rincón, Puerto Rico"
"Truckee, California"
"Panguitch, Utah"
"Thatcher, Utah"
"Blackhawk, CA"
southern East Pacific Rise
"Big Delta, Alaska"
"Eloy Alfaro, Ecuador"
"Valley, Anguilla"
"Umachiri, Peru"
"Big Pine, California"
"White Mountain, Alaska"
"Wai‘ōhinu, Hawaii"
"Medford, Oklahoma"
"Kahaluu-Keauhou, Hawaii"
"Hirara, Japan"
"Takotna, Alaska"
"Isabela, Puerto Rico"
"Stonewall, Oklahoma"
"Carlsbad, CA"
"Presidio, Texas"
"Takahagi, Japan"
"Jipijapa, Ecuador"
"Junction, Utah"
"Wofford Heights, CA"
"Kapowsin, Washington"
"Tetlin, Alaska"
Easter Island region
"Rodotópi, Greece"
"Chula Vista, CA"
"Shaktoolik, Alaska"
"Ahwahnee, CA"
"Sunnyside-Tahoe City, CA"
"Koran, Bosnia and Herzegovina"
"Rustāq, Afghanistan"
"Pleasant Hill, CA"
"Kaktovik, Alaska"
"Dawson City, Canada"
"Orange, CA"
"Sanana, Indonesia"
"Sunol, CA"
"Honoria, Peru"
"Stella, Puerto Rico"
"Silver Lake, CA"
"Buttonwillow, CA"
"Compton, CA"
east of the Kuril Islands
"Moapa Town, Nevada"
"Coronel, Chile"
"Ust’-Kamchatsk Staryy, Russia"
"Giporlos, Philippines"
"Mil’kovo, Russia"
"Levan, Utah"
"Sunnyside, Utah"
"Atiquipa, Peru"
"Gitagum, Philippines"
"Kushima, Japan"
"Cedar Point, Kansas"
"Perham, Maine"
"Jal, New Mexico"
"Conway, Washington"
"Yacolt, Washington"
southeast Indian Ridge
"Woodland, Washington"
"Pine Mountain Club, CA"
"Pototano, Indonesia"
"Seven Trees, CA"
"Ichinoseki, Japan"
"Diamond Ridge, Alaska"
"Masachapa, Nicaragua"
"Sechura, Peru"
"Glenbrook, Nevada"
"La Malbaie, Canada"
"Big Pine, CA"
"Suttsu, Japan"
"Tomioka, Japan"
"Calistoga, CA"
"Morgan, Utah"
"Peñuelas, Puerto Rico"
"Cheney, Kansas"
"Bakersfield, CA"
Banda Sea
"Sprague, Washington"
"Evanston, Wyoming"
"Nenana, Alaska"
"Granite Falls, Washington"
"Shungnak, Alaska"
"King City, CA"
"Roosevelt, Oklahoma"
"Pagar Alam, Indonesia"
"Bonin Islands, Japan region"
"Loudon, New Hampshire"
"Paradise, Montana"
"Murghob, Tajikistan"
"Cantua Creek, CA"
"Balai Pungut, Indonesia"
"Incline Village, Nevada"
south of Africa
"Mizusawa, Japan"
"Notiechtown, Oklahoma"
"Prince Rupert, Canada"
"Roseland, CA"
"Zeb, Oklahoma"
"Hobart Bay, Alaska"
"Seattle, Washington"
"Noonan, Canada"
"San Carlos, Mexico"
"Golfo de Santa Clara, Mexico"
"Burias, Philippines"
"Huslia, Alaska"
"Bella Vista, CA"
"Wiseman, Alaska"
"Estacion Coahuila, B.C., MX"
"Wardville, Oklahoma"
"Ovando, Montana"
"Katsuura, Japan"
"Seltjarnarnes, Iceland"
"Nikolaevsk, Alaska"
"Winston, Montana"
"Belden, CA"
"Smiley, Texas"
"Tecate, B.C., MX"
"Stagecoach, Nevada"
"Vinchina, Argentina"
"Sparks, Nevada"
"Ponce, Puerto Rico"
"Mecca, CA"
"Camiña, Chile"
"Smiths Ferry, Idaho"
"Koyukuk, Alaska"
"Hualien City, Taiwan"
"Pelabuhanratu, Indonesia"
"Lake Marcel-Stillwater, Washington"
"Ambler, Alaska"
"Calongbuyan, Philippines"
"Eatonville, Washington"
"Oak Park, CA"
"Gambell, Alaska"
"Steptoe, Washington"
"Buffalo Soapstone, Alaska"
south of Tonga
"Hamilton Branch, CA"
"Trona, CA"
"Simi Valley, CA"
"Alta, Wyoming"
"McKinney Acres, Texas"
"Homer, Alaska"
"Nescatunga, Oklahoma"
"Stovepipe Wells, CA"
"Piltzville, Montana"
"Astoria, New York"
"Knik-Fairview, Alaska"
"Tarama, Japan"
"Copiapó, Chile"
"Ambrolauri, Georgia"
"North Tustin, CA"
"Ifrane, Morocco"
"Dayton, Montana"
"Lautoka, Fiji"
"Martinez, CA"
"Rockville, Maryland"
"Smithville, Arkansas"
"Kaputa, Zambia"
"Christiansted, U.S. Virgin Islands"
"Nondalton, Alaska"
"Sula, Montana"
"Arctic Village, Alaska"
"Ventura, CA"
"Tuensang, India"
