place,mag
"Petersville, Alaska",1.2
"Geysers, CA",0.4
"Gustine, CA",2.53
"Volcano, Hawaii",2.52
"Geysers, CA",0.45
"Mammoth Lakes, CA",1.03
"Redlands, CA",0.81
"Sitka, Alaska",0.03
"Nelchina, Alaska",3.5
"Pāhala, Hawaii",1.81
"Salcha, Alaska",0.7
"Nanwalek, Alaska",1.2
"Salcha, Alaska",1.1
"False Pass, Alaska",0.14
"Little Lake, CA",0.24
"Coleville, California",1.5
"Cobb, CA",0.96
"Cantwell, Alaska",1.0
"Pony, Montana",0.81
"Pāhala, Hawaii",2.31999993
"Geysers, CA",0.55
"Geysers, CA",1.09
"Coso Junction, CA",1.38
"False Pass, Alaska",0.19
"Sitka, Alaska",-0.28
"Toyah, Texas",1.5
"Amlapura, Indonesia",4.5
"Manley Hot Springs, Alaska",2.3
"Geysers, CA",0.73
"Salcha, Alaska",1.9
"Toyah, Texas",1.6
"Valdez, Alaska",2.4
"Salcha, Alaska",1.8
"Geysers, CA",1.09
"Milford, Utah",1.74
"Ridgecrest, CA",1.01
"Cobb, CA",1.32
"Whites City, New Mexico",2.2
"Whites City, New Mexico",-0.3
"False Pass, Alaska",0.35
"Milford, Utah",-0.3
"Milford, Utah",-0.29
"False Pass, Alaska",0.95
"Sincik, Turkey",5.0
"El Ticui, Mexico",4.3
"Arvin, CA",1.67
"Pedro Bay, Alaska",-0.99
"Pedro Bay, Alaska",-1.13
"Milford, Utah",0.17
"Atka, Alaska",0.98
"Ruteng, Indonesia",5.6
"Stanley, Idaho",1.77
"Harding-Birch Lakes, Alaska",1.1
"Ugashik, Alaska",1.8
"Yakutat, Alaska",1.3
"Milford, Utah",-0.09
"False Pass, Alaska",0.33
"Yakutat, Alaska",1.8
"Martin City, Montana",1.08
"Velma, Oklahoma",1.46
"Karluk, Alaska",-0.24
"Karluk, Alaska",0.53
"Volcano, Hawaii",1.89999998
"Cobb, CA",0.67
"Pāhala, Hawaii",1.63
"Milford, Utah",-0.51
"Milford, Utah",-0.39
"Oso, Washington",0.9
"Karluk, Alaska",0.7
"Stanley, Idaho",2.72
"Denali National Park, Alaska",1.8
"Pāhala, Hawaii",2.1099999
"Denali National Park, Alaska",2.0
"Mentone, Texas",1.4
"Meadow Lakes, Alaska",1.7
"Skwentna, Alaska",1.8
"Geysers, CA",0.75
"Salcha, Alaska",1.0
"Milford, Utah",-0.63
"Geysers, CA",1.05
"Milford, Utah",-0.42
"Geysers, CA",0.87
"Cantwell, Alaska",1.4
"Geysers, CA",0.77
"Milford, Utah",0.32
"Pedro Bay, Alaska",-0.43
"Central, Alaska",1.6
"Central, Alaska",1.4
"Whites City, New Mexico",1.4
"Milford, Utah",-0.09
"Dyer, Nevada",1.0
"Adak, Alaska",0.88
"Milford, Utah",-0.29
"Geysers, CA",0.79
"Susitna North, Alaska",1.3
"Karluk, Alaska",-0.31
"Karluk, Alaska",-0.98
"Fontana, CA",0.63
"Pāhala, Hawaii",1.90999997
"Lincoln, Montana",0.62
"Pedro Bay, Alaska",1.9
"Bishop, California",0.9
"McCarthy, Alaska",1.1
"Pedro Bay, Alaska",2.1
"Leilani Estates, Hawaii",2.57
"Aykol, China",4.2
"Indian Springs, Nevada",-0.2
"Mentone, Texas",1.5
"Karluk, Alaska",-0.88
"Pinnacles, CA",1.09
"Packwood, Washington",1.12
"Milford, Utah",-0.57
"Milford, Utah",-0.6
"Milford, Utah",0.04
"Milford, Utah",-0.61
"Milford, Utah",-0.8
"Virginia City, Nevada",0.9
"Salamatof, Alaska",1.2
"Unalaska, Alaska",1.8
"Salcha, Alaska",1.3
"Beatty, Nevada",-0.2
"Colton, CA",0.87
"Toyah, Texas",1.7
"Desert Hot Springs, CA",0.9
"Vincent, CA",1.2
"Auburn, Wyoming",2.68
"Virginia City, Nevada",1.3
"Guánica, Puerto Rico",2.45
"Pedro Bay, Alaska",-1.11
"Mentone, Texas",2.1
"Milford, Utah",-0.46
"Milford, Utah",-0.49
"Milford, Utah",-0.04
"Milford, Utah",-0.78
"False Pass, Alaska",0.09
"Colton, CA",1.06
"Hebgen Lake Estates, Montana",0.92
"Karluk, Alaska",1.8
"Whites City, New Mexico",1.8
"Whites City, New Mexico",2.5
"Toyah, Texas",1.7
northern East Pacific Rise,4.6
"Whites City, New Mexico",1.7
"Coso Junction, CA",1.22
"Eielson Air Force Base, Alaska",0.8
"Colton, CA",1.1
"Pāhala, Hawaii",1.85000002
"Denali Park, Alaska",1.6
"Steele, Missouri",1.52
"Lake Henshaw, CA",1.28
"Atka, Alaska",0.66
"Paxson, Alaska",1.4
"Geysers, CA",0.49
"Geysers, CA",0.19
"Toyah, Texas",1.6
"Pacifica, CA",1.18
"Chignik, Alaska",2.3
"Delta, B.C., MX",1.72
"Sierraville, California",1.4
"Salcha, Alaska",1.1
"Indian Springs, Nevada",-0.2
"Toyah, Texas",1.5
"Searles Valley, CA",0.48
"Summit Park, Utah",0.88
"Dutch Harbor, Alaska",-0.52
"Toyah, Texas",2.5
"Dutch Harbor, Alaska",-0.61
"Dutch Harbor, Alaska",-0.6
"Salcha, Alaska",1.1
"Karluk, Alaska",-0.33
"Coso Junction, CA",1.0
"Karluk, Alaska",-0.48
"Aykol, China",4.2
"Coso Junction, CA",1.0
"Salcha, Alaska",1.4
"San Bernardino, CA",1.27
"Beatty, Nevada",0.8
"Beatty, Nevada",0.4
"Banning, CA",0.64
"Chignik Lake, Alaska",0.02
"Salcha, Alaska",0.9
"Salcha, Alaska",0.9
"Nemuro, Japan",4.7
"Pedro Bay, Alaska",-0.68
"False Pass, Alaska",-0.1
"Colton, CA",1.05
"Pāhala, Hawaii",2.83
"Geysers, CA",1.31
"Geysers, CA",1.07
"Colton, CA",0.94
"Geysers, CA",1.21
"Geysers, CA",0.77
"Colton, CA",1.55
"Searles Valley, CA",1.38
"Colton, CA",0.92
"Salinas, Puerto Rico",2.02
"Amber, Oklahoma",0.95
"Ocotillo Wells, CA",1.09
"Whites City, New Mexico",1.7
"Whites City, New Mexico",2.1
"Colton, CA",1.48
"Ocotillo Wells, CA",0.82
"Geysers, CA",0.94
"Cobb, CA",1.35
"San Bernardino, CA",4.24
"Chignik Lake, Alaska",0.1
"Lake Elsinore, CA",0.95
"Cobb, CA",0.58
"Clayton, Idaho",2.3
"Chistochina, Alaska",1.3
"Yakutat, Alaska",1.6
"Ridgecrest, CA",0.84
"Stanley, Idaho",2.04
"Karluk, Alaska",0.18
"Karluk, Alaska",-0.47
"Beatty, Nevada",0.7
"Bodfish, CA",1.44
"Cantwell, Alaska",1.5
"Salcha, Alaska",1.6
central Mid-Atlantic Ridge,4.8
"Geysers, CA",0.41
central Mid-Atlantic Ridge,4.8
"Kokhanok, Alaska",1.1
"Coyanosa, Texas",1.4
"Cobb, CA",0.57
"Morton, Washington",1.11
"Templeton, CA",1.62
"Happy Valley, Alaska",1.6
"Chistochina, Alaska",1.7
"Glacier View, Alaska",1.7
"Chistochina, Alaska",2.1
"Salcha, Alaska",1.3
"Vincent, CA",0.54
"Aykol, China",4.5
"West Yellowstone, Montana",1.74
"Geysers, CA",0.79
"Aykol, China",4.9
"Delta Junction, Alaska",1.0
"Aykol, China",4.1
"Sitka, Alaska",0.11
"Yanglong, China",4.7
"Arvin, CA",1.23
"Beluga, Alaska",1.8
"Spring Garden, California",0.6
"Nikolski, Alaska",-0.78
"Whites City, New Mexico",1.7
"Sterling, Alaska",1.4
"Geysers, CA",1.06
"Geysers, CA",0.93
"Pinnacles, CA",1.45
"Salamatof, Alaska",1.4
"Chickaloon, Alaska",1.1
"Lindsay, Texas",1.7
"Whites City, New Mexico",2.0
"Cobb, CA",0.4
"Santa María Guenagati, Mexico",4.0
"Pedro Bay, Alaska",-0.6
"Susitna North, Alaska",2.5
"Geysers, CA",0.93
"Cobb, CA",0.84
"Lime Village, Alaska",1.1
"Guánica, Puerto Rico",2.12
"Beluga, Alaska",1.4
"Cobb, CA",1.41
"Salcha, Alaska",0.9
"Ugashik, Alaska",2.1
"Geysers, CA",0.94
"Virginia City, Montana",1.19
"Davis, Oklahoma",1.43
"Aykol, China",5.2
"Manado, Indonesia",4.4
"Westbrook, Texas",1.7
"Clark Fork, Idaho",1.38
Kuril Islands,4.6
"Paxson, Alaska",2.0
"Aykol, China",4.1
"King Salmon, Alaska",2.8
"Maria Antonia, Puerto Rico",2.65
"Coyanosa, Texas",1.3
"Hayfork, CA",2.55
"Pedro Bay, Alaska",-0.92
"Guánica, Puerto Rico",2.08
"Dannevirke, New Zealand",4.3
"Searles Valley, CA",1.12
"Fox, Alaska",1.3
"Cantwell, Alaska",1.2
"Reno, Nevada",0.8
"Toyah, Texas",2.1
"Coyanosa, Texas",3.2
"Amboy, Washington",0.28
"Geysers, CA",1.26
"Nikiski, Alaska",2.2
"Aykol, China",4.3
"Cantwell, Alaska",1.9
"Whites City, New Mexico",1.9
"Pope-Vannoy Landing, Alaska",1.8
"King Salmon, Alaska",1.5
"Salcha, Alaska",1.0
"Skwentna, Alaska",1.7
"Searles Valley, CA",0.75
"Geysers, CA",0.62
"Aykol, China",4.9
"Central, Alaska",1.4
"Kyzyl-Suu, Kyrgyzstan",4.1
"Geysers, CA",0.75
"Kuqa, China",4.4
"Geysers, CA",0.23
"Cobb, CA",0.97
"Cobb, CA",1.1
"Salcha, Alaska",3.1
"Geysers, CA",1.3
"La Parguera, Puerto Rico",2.53
"Rio Dell, CA",1.64
"Kyzyl-Suu, Kyrgyzstan",4.2
"Dillon, Montana",1.27
"Sutcliffe, Nevada",0.1
"Holtville, CA",1.52
"Tehachapi, CA",1.31
"Cobb, CA",1.1
"Susitna, Alaska",1.5
"Schurz, Nevada",1.6
"Nikolski, Alaska",-0.39
"Schurz, Nevada",1.9
"Spanish Springs, Nevada",0.7
"Aykol, China",4.4
"Nikolski, Alaska",-0.19
"Union City, Oklahoma",1.26
"Lake Elsinore, CA",1.01
"Pala, CA",0.62
"False Pass, Alaska",0.07
"Toyah, Texas",1.6
"Toyah, Texas",2.8
"Geysers, CA",0.77
"Dutch Harbor, Alaska",-0.83
"Dutch Harbor, Alaska",-0.68
"Salcha, Alaska",1.0
"Forsan, Texas",1.8
"Dutch Harbor, Alaska",0.87
"Dutch Harbor, Alaska",0.51
"Dutch Harbor, Alaska",-0.57
"Dutch Harbor, Alaska",0.06
"Pāhala, Hawaii",1.76
"Geysers, CA",0.71
"Kuji, Japan",4.6
"Point MacKenzie, Alaska",1.6
"Coso Junction, CA",1.62
"Santa Rita, Montana",1.6
"Salcha, Alaska",1.6
"Little Lake, CA",1.54
"Akutan, Alaska",-1.25
"Issaquah, Washington",2.27
"Volcano, Hawaii",2.06
"Volcano, Hawaii",1.86
"Salcha, Alaska",0.5
"Skwentna, Alaska",1.8
"Glacier View, Alaska",1.0
"Union City, Oklahoma",1.4
"Anza, CA",0.1
"Cobb, CA",0.72
"Atka, Alaska",2.0
"Geysers, CA",1.04
"Yakutat, Alaska",2.4
"Aykol, China",4.1
"Lincoln, Montana",0.52
"Cloverdale, CA",0.68
"Toyah, Texas",1.8
"Salcha, Alaska",2.4
"Central, Alaska",1.8
"Dutch Harbor, Alaska",-0.95
"Dutch Harbor, Alaska",-0.4
"Borrego Springs, CA",1.12
"Salcha, Alaska",0.8
"Salcha, Alaska",0.8
"Borrego Springs, CA",1.54
"Coleville, California",1.6
"Geysers, CA",0.76
"Corona, CA",1.25
"Helena Valley West Central, Montana",-0.13
"Petrolia, CA",2.85
"Borrego Springs, CA",0.76
"Skwentna, Alaska",2.6
"Ackerly, Texas",1.6
"Atka, Alaska",0.75
"Denali National Park, Alaska",1.3
"Geysers, CA",1.46
"Ocotillo Wells, CA",1.49
"Mina, Nevada",1.0
"False Pass, Alaska",1.02
"Corona, CA",0.81
"Attu Station, Alaska",4.7
"Kyzyl-Suu, Kyrgyzstan",4.6
"Geysers, CA",1.29
"Fort Greely, Alaska",1.5
"Vanimo, Papua New Guinea",5.0
"Pittsburg, CA",1.97
"Denali National Park, Alaska",1.6
"Holtville, CA",2.08
"Dannevirke, New Zealand",4.5
"Dannevirke, New Zealand",5.1
"Karluk, Alaska",0.8
"Delta, B.C., MX",1.71
"Borrego Springs, CA",0.74
"Oso, Washington",0.84
"Cobb, CA",0.9
"Spanish Springs, Nevada",0.5
"Skwentna, Alaska",1.6
"Geysers, CA",0.63
"Fort Bidwell, California",1.6
"Banjar, Indonesia",4.9
"Dededo Village, Guam",4.8
"Salcha, Alaska",1.9
"Whites City, New Mexico",1.3
"Mina, Nevada",1.1
"North Pole, Alaska",0.8
"Eureka, Nevada",1.4
"Ocotillo Wells, CA",0.79
"Harding-Birch Lakes, Alaska",0.6
"King Salmon, Alaska",-0.29
"Beatty, Nevada",0.9
"King Salmon, Alaska",-0.45
"Progreso, B.C., MX",1.67
"Salcha, Alaska",1.1
"Gilroy, CA",1.23
"Snyderville, Utah",0.8
"Velma, Oklahoma",1.59
"Miyazaki, Japan",4.4
"Chiniak, Alaska",2.9
"Karluk, Alaska",0.13
"Stanton, Texas",1.7
"Susitna, Alaska",1.5
"Stanley, Idaho",1.81
"Mentone, Texas",-0.3
"Ashford, Washington",0.6
"Susitna North, Alaska",2.5
"Cobb, CA",0.97
"Belozërnyy, Russia",4.5
"Delta, B.C., MX",1.72
"Mina, Nevada",1.0
"Cantwell, Alaska",0.9
"Ridgecrest, CA",0.43
"Karluk, Alaska",0.33
"Searles Valley, CA",2.45
"Skykomish, Washington",0.89
"Ashkāsham, Afghanistan",4.3
south of the Kermadec Islands,5.1
"Stanley, Idaho",1.73
"Anchorage, Alaska",1.5
"Akutan, Alaska",0.11
"Salcha, Alaska",1.0
"Cobb, CA",0.96
"Salcha, Alaska",1.1
"Salcha, Alaska",1.0
"False Pass, Alaska",0.89
"Beaver, Alaska",2.6
"Salcha, Alaska",2.5
"San Antonio de los Cobres, Argentina",4.2
"New Stuyahok, Alaska",2.4
"Borrego Springs, CA",1.38
"Geysers, CA",0.58
"Geysers, CA",1.08
"Geysers, CA",1.32
"Mentone, CA",0.79
"Salcha, Alaska",0.5
"Loreto, Mexico",4.3
"Calipatria, CA",1.33
"Ocotillo Wells, CA",0.95
"Doyle, California",-0.4
"Loma Linda, CA",1.27
"Calipatria, CA",1.44
"Pacheco, CA",1.49
"King Salmon, Alaska",-0.33
"Denio, Nevada",1.3
"Salcha, Alaska",2.4
"Salamatof, Alaska",0.25
"Loreto, Mexico",4.6
"Calama, Chile",5.4
"Valdez, Alaska",1.4
"Geysers, CA",0.76
"Harding-Birch Lakes, Alaska",1.3
"Yucaipa, CA",0.68
"Calipatria, CA",2.58
"Geysers, CA",1.28
"Marysville, Montana",0.64
"Beatty, Nevada",-0.2
"Velma, Oklahoma",1.42
"Guayanilla, Puerto Rico",2.15
"Salinas, Puerto Rico",2.71
"Salinas, Puerto Rico",2.79
"Spanish Springs, Nevada",0.4
"McCarthy, Alaska",2.1
"Perry, Oklahoma",1.53
"Hughes, Alaska",2.6
"Magna, Utah",1.11
"Velma, Oklahoma",1.54
"Floriston, California",0.1
"Floriston, California",0.1
"Salcha, Alaska",1.7
"Whites City, New Mexico",1.6
"Loreto, Mexico",4.5
"Whites City, New Mexico",1.5
"Stevens Village, Alaska",1.4
"Salcha, Alaska",2.4
"Karluk, Alaska",-0.56
"Wildomar, CA",0.44
"‘Ohonua, Tonga",5.1
"Dutch Harbor, Alaska",0.22
"Goldfield, Nevada",0.6
"Houma, Tonga",4.3
"Denali Park, Alaska",3.4
"Brenas, Puerto Rico",3.01
"Borrego Springs, CA",0.81
"Beatty, Nevada",-0.4
"Dutch Harbor, Alaska",1.75
"Salcha, Alaska",1.4
"Dutch Harbor, Alaska",0.02
"Dutch Harbor, Alaska",0.21
"Dutch Harbor, Alaska",0.33
"Cantwell, Alaska",1.1
"Petrolia, CA",2.32
"Little Lake, CA",0.77
"Issaquah, Washington",1.03
"Ocotillo Wells, CA",0.75
"Ocotillo Wells, CA",1.05
"Big Bear City, CA",0.85
"Dutch Harbor, Alaska",-0.03
"Salcha, Alaska",0.9
"Palomas, Puerto Rico",2.17
"Petropavlovsk-Kamchatsky, Russia",4.7
"Tanana, Alaska",1.4
"Cobb, CA",0.89
"Chase, Alaska",1.7
"Naalehu, Hawaii",1.91
"Talmage, CA",1.47
"Karluk, Alaska",-0.19
"Salcha, Alaska",1.3
"Balmorhea, Texas",1.7
"McCarthy, Alaska",1.5
"Dillon, Montana",0.69
"Pleasant Valley, Alaska",1.0
"Pedro Bay, Alaska",-0.53
"rmal, CA",1.05
"Valdez, Alaska",1.5
"Karluk, Alaska",-0.26
"False Pass, Alaska",1.06
"Petrolia, CA",1.82
"Pedro Bay, Alaska",-0.8
"Sisters, Oregon",0.45
"Valdez, Alaska",1.1
"Petersville, Alaska",1.5
"Mojave, CA",1.98
"Salcha, Alaska",0.6
"Magna, Utah",0.82
"rmal, CA",0.95
"Pāhala, Hawaii",1.79
"Geysers, CA",0.57
"Karluk, Alaska",-0.02
"Borrego Springs, CA",0.81
"False Pass, Alaska",0.37
"Toyah, Texas",2.5
"Clam Gulch, Alaska",-0.34
"Central, Alaska",1.9
"Tanana, Alaska",2.7
"Karluk, Alaska",-0.86
"Salcha, Alaska",1.6
"Whites City, New Mexico",2.6
"Tanana, Alaska",2.7
"Idyllwild, CA",0.73
"Skwentna, Alaska",1.5
"Salinas, Puerto Rico",3.38
"Petersville, Alaska",1.5
"Pāhala, Hawaii",2.0
"Salamatof, Alaska",1.3
"Amboy, Washington",0.23
"Loreto, Mexico",4.8
"Tanana, Alaska",1.8
"Tanana, Alaska",2.6
"Clear, Alaska",1.5
"Tual, Indonesia",5.3
"Indian Springs, Nevada",-0.3
"Pāhala, Hawaii",1.84000003
"Nikolski, Alaska",-0.12
"Geysers, CA",0.69
"Beaver, Alaska",1.7
"Oasis, CA",1.5
"Houston, Alaska",1.5
"Tanana, Alaska",2.0
"Tanana, Alaska",4.2
"Central, Alaska",1.3
"Geysers, CA",1.58
"Central, Alaska",1.5
"Karluk, Alaska",0.16
"Boron, CA",1.46
"Mentone, Texas",2.7
"Salcha, Alaska",1.8
"Fox, Alaska",1.4
"Naalehu, Hawaii",2.42
"Salcha, Alaska",1.6
"Pedro Bay, Alaska",-0.45
"Little Lake, CA",0.66
"Kyzyl-Suu, Kyrgyzstan",4.6
"Pacheco, CA",1.6
"Oasis, CA",2.12
"Geysers, CA",0.85
"Tehachapi, CA",1.11
"Sutton-Alpine, Alaska",1.4
"Denali National Park, Alaska",1.8
"Lindsay, Texas",1.8
"Salcha, Alaska",1.9
"Rengo, Chile",4.7
"rmal, CA",1.29
"Whites City, New Mexico",2.4
"Whites City, New Mexico",1.8
"Velma, Oklahoma",1.98
"Pāhala, Hawaii",1.85000002
"Aykol, China",4.4
"Salcha, Alaska",0.7
"Niland, CA",1.3
"Pedro Bay, Alaska",-1.0
"Whites City, New Mexico",2.1
"Whites City, New Mexico",-0.3
"Pāhala, Hawaii",2.35
"Kyzyl-Suu, Kyrgyzstan",4.3
"Volcano, Hawaii",2.03
"Indio, CA",1.07
"Whites City, New Mexico",1.8
"Petersville, Alaska",1.6
"Akkeshi, Japan",5.1
"Sutcliffe, Nevada",0.1
"Whites City, New Mexico",2.1
"Whites City, New Mexico",0.6
"Central, Alaska",1.6
"Tres Pinos, CA",0.99
"Cobb, CA",1.4
"Enumclaw, Washington",0.8
"Whites City, New Mexico",2.7
"Geysers, CA",1.87
"La Quinta, CA",0.62
"False Pass, Alaska",1.12
"Four Mile Road, Alaska",1.4
"Aykol, China",5.2
"Waterville, Washington",0.05
"Butte, Montana",1.76
"Salamatof, Alaska",1.4
"Trimble, Tennessee",2.75
"Karluk, Alaska",0.83
"Geysers, CA",0.94
"Ashford, Washington",1.01
"Beykonak, Turkey",4.2
"Geysers, CA",0.78
"Butte, Montana",1.79
"Pāhala, Hawaii",2.02
"Harding-Birch Lakes, Alaska",1.0
"Whites City, New Mexico",2.0
"Kyzyl-Suu, Kyrgyzstan",4.7
"Karluk, Alaska",-0.08
"Ninilchik, Alaska",-0.54
"Salcha, Alaska",1.1
"Salcha, Alaska",1.5
"Karluk, Alaska",-0.57
"Aykol, China",4.2
"Karluk, Alaska",-0.79
"Aykol, China",4.4
"Salcha, Alaska",1.1
"Salcha, Alaska",1.2
"Townsend, Montana",1.5
"Geysers, CA",0.75
"Beluga, Alaska",1.7
"Manley Hot Springs, Alaska",1.2
"Geysers, CA",0.69
"Geysers, CA",0.75
"Cobb, CA",0.7
"Cobb, CA",0.23
"Dutch Harbor, Alaska",-0.09
"Tyonek, Alaska",1.6
"Cobb, CA",0.27
"Pedro Bay, Alaska",1.8
"Geysers, CA",0.75
"Lima, Montana",0.76
"Salcha, Alaska",1.0
"Karluk, Alaska",-0.46
"Cobb, CA",0.35
"Cobb, CA",0.26
"Geysers, CA",0.52
"Geysers, CA",0.58
"Whites City, New Mexico",1.7
"Edmond, Oklahoma",1.38
"Petersville, Alaska",1.6
"Ocotillo, CA",1.05
"Karluk, Alaska",-0.17
"Big Bear City, CA",0.81
"Beatty, Nevada",0.3
"Coso Junction, CA",1.08
"Hollister, CA",1.67
"Geysers, CA",0.76
"Pāhala, Hawaii",2.19000006
"Willow Creek, Montana",0.5
"Pāhala, Hawaii",2.13000011
"Mina, Nevada",1.5
"Ocotillo Wells, CA",1.25
"Whites City, New Mexico",1.6
"Aleneva, Alaska",2.3
"Cobb, CA",0.69
"Muscoy, CA",1.39
"Reno, Nevada",0.3
